timestamp,sensorName,value
2025-09-29T00:00:00Z,Sensor4,23.5
2025-09-29T00:00:00Z,Sensor5,19.8
2025-09-29T00:00:00Z,Sensor6,21.2
2025-09-29T00:05:00Z,Sensor4,24.1
2025-09-29T00:05:00Z,Sensor5,20.3
2025-09-29T00:05:00Z,Sensor6,22.0
2025-09-29T00:10:00Z,Sensor4,23.9
2025-09-29T00:10:00Z,Sensor5,19.5
2025-09-29T00:10:00Z,Sensor6,21.7
2025-09-29T00:15:00Z,Sensor4,24.2
2025-09-29T00:15:00Z,Sensor5,20.1
2025-09-29T00:15:00Z,Sensor6,22.3
2025-09-29T00:20:00Z,Sensor4,23.7
2025-09-29T00:20:00Z,Sensor5,19.7
2025-09-29T00:20:00Z,Sensor6,21.9
2025-09-29T00:25:00Z,Sensor4,24.0
2025-09-29T00:25:00Z,Sensor5,20.4
2025-09-29T00:25:00Z,Sensor6,22.2
2025-09-29T00:30:00Z,Sensor4,23.8
2025-09-29T00:30:00Z,Sensor5,19.9
2025-09-29T00:30:00Z,Sensor6,21.8
2025-09-29T00:35:00Z,Sensor4,24.3
2025-09-29T00:35:00Z,Sensor5,20.2
2025-09-29T00:35:00Z,Sensor6,22.1
2025-09-29T00:40:00Z,Sensor4,23.6
2025-09-29T00:40:00Z,Sensor5,19.6
2025-09-29T00:40:00Z,Sensor6,21.6
2025-09-29T00:45:00Z,Sensor4,24.1
2025-09-29T00:45:00Z,Sensor5,20.0
2025-09-29T00:45:00Z,Sensor6,22.0
2025-09-29T00:50:00Z,Sensor4,23.7
2025-09-29T00:50:00Z,Sensor5,19.8
2025-09-29T00:50:00Z,Sensor6,21.7
2025-09-29T00:55:00Z,Sensor4,24.0
2025-09-29T00:55:00Z,Sensor5,20.3
2025-09-29T00:55:00Z,Sensor6,22.3
2025-09-29T01:00:00Z,Sensor4,23.9
2025-09-29T01:00:00Z,Sensor5,19.7
2025-09-29T01:00:00Z,Sensor6,21.9
2025-09-29T01:05:00Z,Sensor4,24.2
2025-09-29T01:05:00Z,Sensor5,20.1
2025-09-29T01:05:00Z,Sensor6,22.2
2025-09-29T01:10:00Z,Sensor4,23.8
2025-09-29T01:10:00Z,Sensor5,19.9
2025-09-29T01:10:00Z,Sensor6,21.8
2025-09-29T01:15:00Z,Sensor4,24.3
2025-09-29T01:15:00Z,Sensor5,20.2
2025-09-29T01:15:00Z,Sensor6,22.1
2025-09-29T01:20:00Z,Sensor4,23.6
2025-09-29T01:20:00Z,Sensor5,19.6
2025-09-29T01:20:00Z,Sensor6,21.6
2025-09-29T01:25:00Z,Sensor4,24.1
2025-09-29T01:25:00Z,Sensor5,20.0
2025-09-29T01:25:00Z,Sensor6,22.0
2025-09-29T01:30:00Z,Sensor4,23.7
2025-09-29T01:30:00Z,Sensor5,19.8
2025-09-29T01:30:00Z,Sensor6,21.7
2025-09-29T01:35:00Z,Sensor4,24.0
2025-09-29T01:35:00Z,Sensor5,20.3
2025-09-29T01:35:00Z,Sensor6,22.3
2025-09-29T01:40:00Z,Sensor4,23.9
2025-09-29T01:40:00Z,Sensor5,19.7
2025-09-29T01:40:00Z,Sensor6,21.9
2025-09-29T01:45:00Z,Sensor4,24.2
2025-09-29T01:45:00Z,Sensor5,20.1
2025-09-29T01:45:00Z,Sensor6,22.2
2025-09-29T01:50:00Z,Sensor4,23.8
2025-09-29T01:50:00Z,Sensor5,19.9
2025-09-29T01:50:00Z,Sensor6,21.8
2025-09-29T01:55:00Z,Sensor4,24.3
2025-09-29T01:55:00Z,Sensor5,20.2
2025-09-29T01:55:00Z,Sensor6,22.1
2025-09-29T02:00:00Z,Sensor4,23.6
2025-09-29T02:00:00Z,Sensor5,19.6
2025-09-29T02:00:00Z,Sensor6,21.6
2025-09-29T02:05:00Z,Sensor4,24.1
2025-09-29T02:05:00Z,Sensor5,20.0
2025-09-29T02:05:00Z,Sensor6,22.0
2025-09-29T02:10:00Z,Sensor4,23.7
2025-09-29T02:10:00Z,Sensor5,19.8
2025-09-29T02:10:00Z,Sensor6,21.7
2025-09-29T02:15:00Z,Sensor4,24.0
2025-09-29T02:15:00Z,Sensor5,20.3
2025-09-29T02:15:00Z,Sensor6,22.3
2025-09-29T02:20:00Z,Sensor4,23.9
2025-09-29T02:20:00Z,Sensor5,19.7
2025-09-29T02:20:00Z,Sensor6,21.9
2025-09-29T02:25:00Z,Sensor4,24.2
9/29/2025 02:25,Sensor5,20.1
2025-09-29T02:25:00Z,Sensor6,22.2
2025-09-29T02:30:00Z,Sensor4,23.8
2025-09-29T02:30:00Z,Sensor5,19.9
2025-09-29T02:30:00Z,Sensor6,21.8
2025-09-29T02:35:00Z,Sensor4,24.3
2025-09-29T02:35:00Z,Sensor5,20.2
2025-09-29T02:35:00Z,Sensor6,22.1
2025-09-29T02:40:00Z,Sensor4,23.6
2025-09-29T02:40:00Z,Sensor5,19.6
2025-09-29T02:40:00Z,Sensor6,21.6
2025-09-29T02:45:00Z,Sensor4,24.1
2025-09-29T02:45:00Z,Sensor5,20.0
2025-09-29T02:45:00Z,Sensor6,22.0
2025-09-29T02:50:00Z,Sensor4,23.7
2025-09-29T02:50:00Z,Sensor5,19.8
2025-09-29T02:50:00Z,Sensor6,21.7
2025-09-29T02:55:00Z,Sensor4,24.0
2025-09-29T02:55:00Z,Sensor5,20.3
2025-09-29T02:55:00Z,Sensor6,22.3
2025-09-29T03:00:00Z,Sensor4,23.9
2025-09-29T03:00:00Z,Sensor5,19.7
2025-09-29T03:00:00Z,Sensor6,21.9
2025-09-29T03:05:00Z,Sensor4,24.2
2025-09-29T03:05:00Z,Sensor5,20.1
2025-09-29T03:05:00Z,Sensor6,22.2
2025-09-29T03:10:00Z,Sensor4,23.8
2025-09-29T03:10:00Z,Sensor5,19.9
2025-09-29T03:10:00Z,Sensor6,21.8
2025-09-29T03:15:00Z,Sensor4,24.3
2025-09-29T03:15:00Z,Sensor5,20.2
2025-09-29T03:15:00Z,Sensor6,22.1
2025-09-29T03:20:00Z,Sensor4,23.6
2025-09-29T03:20:00Z,Sensor5,19.6
2025-09-29T03:20:00Z,Sensor6,21.6
2025-09-29T03:25:00Z,Sensor4,24.1
2025-09-29T03:25:00Z,Sensor5,20.0
2025-09-29T03:25:00Z,Sensor6,22.0
2025-09-29T03:30:00Z,Sensor4,23.7
2025-09-29T03:30:00Z,Sensor5,19.8
2025-09-29T03:30:00Z,Sensor6,21.7
2025-09-29T03:35:00Z,Sensor4,24.0
2025-09-29T03:35:00Z,Sensor5,20.3
2025-09-29T03:35:00Z,Sensor6,22.3
2025-09-29T03:40:00Z,Sensor4,23.9
2025-09-29T03:40:00Z,Sensor5,19.7
2025-09-29T03:40:00Z,Sensor6,21.9
2025-09-29T03:45:00Z,Sensor4,24.2
2025-09-29T03:45:00Z,Sensor5,20.1
2025-09-29T03:45:00Z,Sensor6,22.2
2025-09-29T03:50:00Z,Sensor4,23.8
2025-09-29T03:50:00Z,Sensor5,19.9
2025-09-29T03:50:00Z,Sensor6,21.8
2025-09-29T03:55:00Z,Sensor4,24.3
2025-09-29T03:55:00Z,Sensor5,20.2
2025-09-29T03:55:00Z,Sensor6,22.1
