timestamp,sensorName,value
2025-09-29T08:00:00Z,Sensor7,3.5
2025-09-29T08:00:00Z,Sensor8,19.2
2025-09-29T08:00:00Z,Sensor9,42.7
2025-09-29T08:05:00Z,Sensor7,4.1
2025-09-29T08:05:00Z,Sensor8,18.9
2025-09-29T08:05:00Z,Sensor9,44.3
2025-09-29T08:10:00Z,Sensor7,3.8
2025-09-29T08:10:00Z,Sensor8,19.5
2025-09-29T08:10:00Z,Sensor9,42.9
2025-09-29T08:15:00Z,Sensor7,4.0
2025-09-29T08:15:00Z,Sensor8,19.1
2025-09-29T08:15:00Z,Sensor9,43.2
2025-09-29T08:20:00Z,Sensor7,3.7
2025-09-29T08:20:00Z,Sensor8,18.8
2025-09-29T08:20:00Z,Sensor9,44.0
2025-09-29T08:25:00Z,Sensor7,4.2
2025-09-29T08:25:00Z,Sensor8,19.3
2025-09-29T08:25:00Z,Sensor9,43.7
2025-09-29T08:30:00Z,Sensor7,3.9
2025-09-29T08:30:00Z,Sensor8,19.0
2025-09-29T08:30:00Z,Sensor9,44.5
2025-09-29T08:35:00Z,Sensor7,4.1
2025-09-29T08:35:00Z,Sensor8,19.4
2025-09-29T08:35:00Z,Sensor9,43.9
2025-09-29T08:40:00Z,Sensor7,3.6
2025-09-29T08:40:00Z,Sensor8,18.7
2025-09-29T08:40:00Z,Sensor9,44.2
2025-09-29T08:45:00Z,Sensor7,4.0
2025-09-29T08:45:00Z,Sensor8,19.2
2025-09-29T08:45:00Z,Sensor9,43.8
2025-09-29T08:50:00Z,Sensor7,3.8
2025-09-29T08:50:00Z,Sensor8,19.1
2025-09-29T08:50:00Z,Sensor9,44.3
2025-09-29T08:55:00Z,Sensor7,4.3
2025-09-29T08:55:00Z,Sensor8,19.5
2025-09-29T08:55:00Z,Sensor9,43.6
2025-09-29T09:00:00Z,Sensor7,3.7
2025-09-29T09:00:00Z,Sensor8,18.9
2025-09-29T09:00:00Z,Sensor9,44.1
2025-09-29T09:05:00Z,Sensor7,4.2
2025-09-29T09:05:00Z,Sensor8,19.3
2025-09-29T09:05:00Z,Sensor9,43.7
2025-09-29T09:10:00Z,Sensor7,3.9
2025-09-29T09:10:00Z,Sensor8,19.0
2025-09-29T09:10:00Z,Sensor9,44.4
2025-09-29T09:15:00Z,Sensor7,4.1
2025-09-29T09:15:00Z,Sensor8,19.2
2025-09-29T09:15:00Z,Sensor9,43.8
2025-09-29T09:20:00Z,Sensor7,3.8
2025-09-29T09:20:00Z,Sensor8,18.8
2025-09-29T09:20:00Z,Sensor9,44.2
2025-09-29T09:25:00Z,Sensor7,4.0
2025-09-29T09:25:00Z,Sensor8,19.1
2025-09-29T09:25:00Z,Sensor9,43.9
2025-09-29T09:30:00Z,Sensor7,3.7
2025-09-29T09:30:00Z,Sensor8,19.3
2025-09-29T09:30:00Z,Sensor9,44.0
2025-09-29T09:35:00Z,Sensor7,4.2
2025-09-29T09:35:00Z,Sensor8,19.4
2025-09-29T09:35:00Z,Sensor9,43.6
2025-09-29T09:40:00Z,Sensor7,3.9
2025-09-29T09:40:00Z,Sensor8,18.7
2025-09-29T09:40:00Z,Sensor9,44.3
2025-09-29T09:45:00Z,Sensor7,4.1
2025-09-29T09:45:00Z,Sensor8,19.0
2025-09-29T09:45:00Z,Sensor9,43.7
2025-09-29T09:50:00Z,Sensor7,3.8
2025-09-29T09:50:00Z,Sensor8,19.2
2025-09-29T09:50:00Z,Sensor9,44.1
2025-09-29T09:55:00Z,Sensor7,4.0
2025-09-29T09:55:00Z,Sensor8,19.1
2025-09-29T09:55:00Z,Sensor9,43.8
2025-09-29T10:00:00Z,Sensor7,3.6
2025-09-29T10:00:00Z,Sensor8,18.9
2025-09-29T10:00:00Z,Sensor9,44.4
2025-09-29T10:05:00Z,Sensor7,4.2
2025-09-29T10:05:00Z,Sensor8,19.3
2025-09-29T10:05:00Z,Sensor9,43.9
2025-09-29T10:10:00Z,Sensor7,3.9
2025-09-29T10:10:00Z,Sensor8,19.0
2025-09-29T10:10:00Z,Sensor9,44.2
2025-09-29T10:15:00Z,Sensor7,4.1
2025-09-29T10:15:00Z,Sensor8,19.4
2025-09-29T10:15:00Z,Sensor9,43.6
2025-09-29T10:20:00Z,Sensor7,3.7
2025-09-29T10:20:00Z,Sensor8,18.8
2025-09-29T10:20:00Z,Sensor9,44.3
2025-09-29T10:25:00Z,Sensor7,4.0
2025-09-29T10:25:00Z,Sensor8,19.2
2025-09-29T10:25:00Z,Sensor9,43.7
2025-09-29T10:30:00Z,Sensor7,3.8
2025-09-29T10:30:00Z,Sensor8,19.1
2025-09-29T10:30:00Z,Sensor9,44.1
2025-09-29T10:35:00Z,Sensor7,4.3
2025-09-29T10:35:00Z,Sensor8,19.5
2025-09-29T10:35:00Z,Sensor9,43.8
2025-09-29T10:40:00Z,Sensor7,3.9
2025-09-29T10:40:00Z,Sensor8,18.9
2025-09-29T10:40:00Z,Sensor9,44.4
2025-09-29T10:45:00Z,Sensor7,4.2
2025-09-29T10:45:00Z,Sensor8,19.3
2025-09-29T10:45:00Z,Sensor9,43.9
2025-09-29T10:50:00Z,Sensor7,3.7
2025-09-29T10:50:00Z,Sensor8,19.0
2025-09-29T10:50:00Z,Sensor9,44.2
2025-09-29T10:55:00Z,Sensor7,4.1
2025-09-29T10:55:00Z,Sensor8,19.4
2025-09-29T10:55:00Z,Sensor9,43.6
2025-09-29T11:00:00Z,Sensor7,3.8
2025-09-29T11:00:00Z,Sensor8,18.8
2025-09-29T11:00:00Z,Sensor9,44.3
2025-09-29T11:05:00Z,Sensor7,4.0
2025-09-29T11:05:00Z,Sensor8,19.2
2025-09-29T11:05:00Z,Sensor9,43.7
2025-09-29T11:10:00Z,Sensor7,3.9
2025-09-29T11:10:00Z,Sensor8,19.1
2025-09-29T11:10:00Z,Sensor9,44.1
2025-09-29T11:15:00Z,Sensor7,4.2
2025-09-29T11:15:00Z,Sensor8,19.5
2025-09-29T11:15:00Z,Sensor9,43.8
2025-09-29T11:20:00Z,Sensor7,3.7
2025-09-29T11:20:00Z,Sensor8,18.9
2025-09-29T11:20:00Z,Sensor9,44.4
2025-09-29T11:25:00Z,Sensor7,4.1
2025-09-29T11:25:00Z,Sensor8,19.3
2025-09-29T11:25:00Z,Sensor9,43.9
2025-09-29T11:30:00Z,Sensor7,3.8
2025-09-29T11:30:00Z,Sensor8,19.0
2025-09-29T11:30:00Z,Sensor9,44.2
2025-09-29T11:35:00Z,Sensor7,4.0
2025-09-29T11:35:00Z,Sensor8,19.4
2025-09-29T11:35:00Z,Sensor9,43.6
2025-09-29T11:40:00Z,Sensor7,3.9
2025-09-29T11:40:00Z,Sensor8,18.8
2025-09-29T11:40:00Z,Sensor9,44.3
2025-09-29T11:45:00Z,Sensor7,4.2
2025-09-29T11:45:00Z,Sensor8,19.2
2025-09-29T11:45:00Z,Sensor9,43.7
2025-09-29T11:50:00Z,Sensor7,3.7
2025-09-29T11:50:00Z,Sensor8,19.1
2025-09-29T11:50:00Z,Sensor9,44.1
2025-09-29T11:55:00Z,Sensor7,4.1
2025-09-29T11:55:00Z,Sensor8,19.5
2025-09-29T11:55:00Z,Sensor9,43.8
